Species,Common name,Species Taxonomy ID,Taxonomic Lineage,Assembly name,NCBI accession / source,contig N50 (bp),scaffold N50 (bp),reference
Falco peregrinus,peregrine falcon,8954,Aves; Neognathae; Falconiformes; Falconidae; Falco,falPer1,GCF_000337955.1,28645,3935757,chicken
Falco rusticolus,gyrfalcon,120794,Aves; Neognathae; Falconiformes; Falconidae; Falco,HLfalRus1,GCF_015220075.1,15323486,91094845,chicken
Falco tinnunculus,common kestrel,100819,Aves; Neognathae; Falconiformes; Falconidae; Falco,HLfalTin1,GCA_010332995.1,37053,21232185,chicken
Falcunculus frontatus,Eastern shriketit,254539,Aves; Neognathae; Passeriformes; Corvoidea; Pachycephalidae; Falcunculus,HLfalFro1,GCA_013398115.1,150458,1193676,chicken
Ficedula albicollis,Collared flycatcher,59894,Aves; Neognathae; Passeriformes; Muscicapidae; Ficedula,ficAlb2,GCF_000247815.1,410964,6542656,chicken
Formicarius rufipectus,-,1118560,Aves; Neognathae; Passeriformes; Formicariidae; Formicarius,HLforRuf1,GCA_013399695.1,79409,836584,chicken
Fratercula arctica,Atlantic puffin,28701,Aves; Neognathae; Charadriiformes; Alcidae; Fratercula,HLfraArc1,GCA_905066775.2,98300,105661561,chicken
Fregata magnificens,-,37042,Aves; Neognathae; Pelecaniformes; Fregatidae; Fregata,HLfreMag1,GCA_013389945.1,35511,145412,chicken
Fringilla coelebs coelebs,chaffinch,1471794,Aves; Neognathae; Passeriformes; Passeroidea; Fringillidae; Fringillinae; Fringilla; Fringilla coelebs,HLfriCoeCoe1,GCA_015532645.1,67082,68853404,chicken
Fulica atra,Eurasian coot,9121,Aves; Neognathae; Gruiformes; Rallidae; Fulica,HLfulAtr1,GCA_013372525.1,246158,6390841,chicken
Fulmarus glacialis,Northern fulmar,30455,Aves; Neognathae; Procellariiformes; Procellariidae; Fulmarus,fulGla1,GCF_000690835.1,25926,47208,chicken
Furnarius figulus,-,463165,Aves; Neognathae; Passeriformes; Furnariidae; Furnarius,HLfurFig1,GCA_013397465.1,55547,650940,chicken
Galbula dea,-,1109041,Aves; Neognathae; Galbuliformes; Galbulidae; Galbula,HLgalDea1,GCA_013399015.1,251170,1175606,chicken
Gavia stellata,red-throated loon,37040,Aves; Neognathae; Gaviiformes; Gaviidae; Gavia,gavSte1,GCF_000690875.1,24321,45523,chicken
Geococcyx californianus,"greater roadrunner,roadrunner",8947,Aves; Neognathae; Cuculiformes; Neomorphidae; Geococcyx,HLgeoCal1,GCA_013389885.1,47040,59473,chicken
Geospiza fortis,medium ground-finch,48883,Aves; Neognathae; Passeriformes; Thraupidae; Geospiza,geoFor1,GCF_000277835.1,30521,5255844,chicken
Geothlypis trichas,common yellowthroat,135433,Aves; Neognathae; Passeriformes; Passeroidea; Parulidae; Geothlypis,HLgeoTri1,GCA_009764595.1,3247339,72541719,chicken
Glareola pratincola,-,43316,Aves; Neognathae; Charadriiformes; Glareolidae; Glareola,HLglaPra1,GCA_013401295.1,39898,411631,chicken
Glaucidium brasilianum,ferruginous pygmy-owl,78217,Aves; Neognathae; Strigiformes; Strigidae; Glaucidium,HLglaBra1,GCA_013399595.1,74988,1600682,chicken
Gorsachius goisagi,Japanese night-heron,1215352,Aves; Neognathae; Pelecaniformes; Ardeidae; Gorsachius,HLgorGoi1,GCA_018403395.1,42983,73010,chicken
Grallaria varia,variegated antpitta,117165,Aves; Neognathae; Passeriformes; Formicariidae; Grallaria,HLgraVar1,GCA_013396735.1,64146,482390,chicken
Grus americana,Whooping crane,9117,Aves; Neognathae; Gruiformes; Gruidae; Grus,HLgruAme1,GCA_013390085.1,46954,266481,chicken
Grus nigricollis,black-necked crane,40817,Aves; Neognathae; Gruiformes; Gruidae; Grus,HLgruNig1,GCA_004360235.1,17886166,17886166,chicken
Guaruba guarouba,-,51906,Aves; Neognathae; Psittaciformes; Psittacidae; Guaruba,HLguaGua1,GCA_011800095.1,126760,9320406,chicken
Gymnogyps californianus,California condor,33616,Aves; Neognathae; Accipitriformes; Cathartidae; Gymnogyps,HLgymCal1,DNA Zoo Consortium,17075248,85346818,chicken
Gymnorhina tibicen,Australian magpie,9132,Aves; Neognathae; Passeriformes; Artamidae; Gymnorhina,HLgymTib1,GCA_013399875.1,140542,1191429,chicken
Halcyon senegalensis,-,342381,Aves; Neognathae; Coraciiformes; Alcedinidae; Halcyon,HLhalSen1,GCA_013397595.1,95631,2050318,chicken
Haliaeetus albicilla,white-tailed eagle,8969,Aves; Neognathae; Accipitriformes; Accipitridae; Accipitrinae; Haliaeetus,HLhalAlb2,GCA_013398555.1,134899,4551471,chicken
Haliaeetus leucocephalus,bald eagle,52644,Aves; Neognathae; Accipitriformes; Accipitridae; Accipitrinae; Haliaeetus,halLeu1,GCF_000737465.1,105493,9145499,chicken
Haliaeetus pelagicus,Steller's sea-eagle,52647,Aves; Neognathae; Accipitriformes; Accipitridae; Accipitrinae; Haliaeetus,HLhalPel1,GCA_014363185.1,86631,179278,chicken
Heliornis fulica,sungrebe,54369,Aves; Neognathae; Gruiformes; Heliornithidae; Heliornis,HLhelFul1,GCA_013399135.1,53463,389526,chicken
Hemignathus virens,Hawaii amakihi,64799,Aves; Neognathae; Passeriformes; Passeroidea; Fringillidae; Drepanidinae; Hemignathus,HLhemVir1,GCA_003286495.1,23480,69780276,chicken
Hemignathus wilsoni,Akiapolaau,2518271,Aves; Neognathae; Passeriformes; Passeroidea; Fringillidae; Drepanidinae; Hemignathus,HLhemWil1,GCA_009690805.1,69851,3340285,chicken
Hemiprocne comata,-,243314,Aves; Neognathae; Caprimulgimorphae; Apodiformes; Apodidae; Hemiprocninae; Hemiprocne,HLhemCom2,GCA_020745705.1,20531774,91346199,chicken
Hemiprocne comata,whiskered treeswift,243314,Aves; Neognathae; Caprimulgimorphae; Apodiformes; Apodidae; Hemiprocninae; Hemiprocne,HLhemCom1,GCA_013396855.1,58948,355677,chicken
Herpetotheres cachinnans,-,56343,Aves; Neognathae; Falconiformes; Falconidae; Herpetotheres,HLherCac1,GCA_013399355.1,61768,1830427,chicken
Heteronetta atricapilla,-,555264,Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Anatinae; Heteronetta,HLhetAtr1,GCA_011075105.1,151401,23364606,chicken
Himantopus himantopus,black-winged stilt,225398,Aves; Neognathae; Charadriiformes; Recurvirostridae; Himantopus,HLhimHim2,GCA_013400095.1,79248,712820,chicken
Himantopus himantopus leucocephalus,black-winged stilt,507594,Aves; Neognathae; Charadriiformes; Recurvirostridae; Himantopus; Himantopus himantopus,HLhimHim1,GCA_003993805.1,36551,99457149,chicken
Hippolais icterina,icterine warbler,68497,Aves; Neognathae; Passeriformes; Sylvioidea; Sylviidae; Acrocephalinae; Hippolais,HLhipIct1,GCA_013400075.1,64762,494139,chicken
Hirundo rustica,Barn swallow,43150,Aves; Neognathae; Passeriformes; Sylvioidea; Hirundinidae; Hirundo,HLhirRus2,GCA_015227805.1,2794774,76187387,chicken
Hirundo rustica rustica,Barn swallow,333673,Aves; Neognathae; Passeriformes; Sylvioidea; Hirundinidae; Hirundo; Hirundo rustica,HLhirRus1,GCA_003692655.1,6124600,25954216,chicken
Hydrobates tethys,Wedge-rumped storm-petrel,79633,Aves; Neognathae; Procellariiformes; Hydrobatidae; Hydrobates,HLhydTet1,GCA_013397025.1,54514,372486,chicken
Hylia prasina,green hylia,208073,Aves; Neognathae; Passeriformes; Sylvioidea; Sylviidae; Acrocephalinae; Hylia,HLhylPra1,GCA_013397195.1,64125,688804,chicken
Ibidorhyncha struthersii,-,425643,Aves; Neognathae; Charadriiformes; Charadriidae; Ibidorhyncha,HLibiStr1,GCA_013398815.1,64861,514623,chicken
Ifrita kowaldi,blue-capped ifrita,461245,Aves; Neognathae; Passeriformes; Corvoidea; Cinclosomatidae; Ifrita,HLifrKow1,GCA_013398055.1,103033,424487,chicken
Illadopsis cleaveri,blackcap illadopsis,201329,Aves; Neognathae; Passeriformes; Sylvioidea; Timaliidae; Illadopsis,HLillCle1,GCA_013399915.1,45419,377149,chicken
Indicator maculatus,spotted honeyguide,545262,Aves; Neognathae; Piciformes; Indicatoridae; Indicator,HLindMac1,GCA_013399975.1,65219,462551,chicken
Irena cyanogastra,fairy bluebird,175120,Aves; Neognathae; Passeriformes; Corvoidea; Irenidae; Irena,HLireCya1,GCA_013397155.1,128716,552862,chicken
Jacana jacana,wattled jacana,54508,Aves; Neognathae; Charadriiformes; Jacanidae; Jacana,HLjacJac1,GCA_013400555.1,31221,126631,chicken
Junco hyemalis,dark-eyed junco,40217,Aves; Neognathae; Passeriformes; Passerellidae; Junco,HLjunHye1,GCA_003829775.1,80164,71317294,chicken
Lagopus leucura,white-tailed ptarmigan,30410,Aves; Neognathae; Galloanserae; Galliformes; Phasianidae; Tetraoninae; Lagopus,HLlagLeu1,GCF_019238085.1,214153,36287040,chicken
Lamprotornis superbus,-,245042,Aves; Neognathae; Passeriformes; Sturnidae; Lamprotornis,HLlamSup1,GCA_015883425.1,150333,4390367,chicken
Lanius collurio,red-backed shrike,56324,Aves; Neognathae; Passeriformes; Corvoidea; Laniidae; Lanius,HLlanCol1,GCA_020086605.1,143569,23147665,chicken
Lanius ludovicianus,-,28713,Aves; Neognathae; Passeriformes; Corvoidea; Laniidae; Lanius,HLlanLud1,GCA_013397235.1,98065,684974,chicken
Larus smithsonianus,American herring gull,243888,Aves; Neognathae; Charadriiformes; Laridae; Larus,HLlarSmi1,GCA_013400295.1,59826,82245,chicken
Laterallus jamaicensis coturniculus,-,650015,Aves; Neognathae; Gruiformes; Rallidae; Laterallus; Laterallus jamaicensis,HLlatJamCot1,GCA_022605575.1,7445194,21403927,chicken
Leiothrix lutea,red-billed leiothrix,36275,Aves; Neognathae; Passeriformes; Sylvioidea; Leiothrichidae; Leiothrix,HLleiLut1,GCA_013400445.1,27764,297511,chicken
Lepidothrix coronata,blue-crowned manakin,321398,Aves; Neognathae; Passeriformes; Pipridae; Lepidothrix,HLlepCor1,GCF_001604755.1,141849,4972619,chicken
Leptosomus discolor,cuckoo roller,188344,Aves; Neognathae; Coraciiformes; Leptosomidae; Leptosomus,lepDis1,GCF_000691785.1,24735,62640,chicken
Leucopsar rothschildi,Bali myna,127929,Aves; Neognathae; Passeriformes; Sturnidae; Leucopsar,HLleuRot1,GCA_013397325.1,93565,605901,chicken
Locustella ochotensis,Middendorff's grasshopper-warbler,187437,Aves; Neognathae; Passeriformes; Sylvioidea; Locustellidae; Locustella,HLlocOch1,GCA_013400155.1,58272,653738,chicken
Lonchura striata domestica,Bengalese finch,299123,Aves; Neognathae; Passeriformes; Passeroidea; Estrildidae; Estrildinae; Lonchura; Lonchura striata,HLlonStr2,GCF_005870125.1,100423,71975342,chicken
Lophotis ruficrista,-,172689,Aves; Neognathae; Gruiformes; Otididae; Lophotis,HLlopRuf1,GCA_013396455.1,57900,702395,chicken
Lophura nycthemera,Silver pheasant,9046,Aves; Neognathae; Galloanserae; Galliformes; Phasianidae; Phasianinae; Lophura,HLlopNyc1,GCA_021292215.1,6360312,6955689,chicken
Lorius garrulus,chattering lory,13114,Aves; Neognathae; Psittaciformes; Psittaculidae; Loriini; Lorius,HLlorGar1,GCA_010014925.1,122760,5420790,chicken
Loxia curvirostra,"Fichtenkreuzschnabel,red crossbill",64802,Aves; Neognathae; Passeriformes; Passeroidea; Fringillidae; Carduelinae; Loxia,HLloxCur1,GCA_013398455.1,211346,3116274,chicken
Loxia leucoptera,white-winged crossbill,96539,Aves; Neognathae; Passeriformes; Passeroidea; Fringillidae; Carduelinae; Loxia,HLloxLeu1,GCA_013396895.1,96290,614047,chicken
Lycocorax pyrrhopterus obiensis,-,2767082,Aves; Neognathae; Passeriformes; Corvoidea; Paradisaeidae; Lycocorax; Lycocorax pyrrhopterus,HLlycPyrObi1,GCA_015343275.1,97575,4748626,chicken
Lycocorax pyrrhopterus obiensis,-,2767082,Aves; Neognathae; Passeriformes; Corvoidea; Paradisaeidae; Lycocorax; Lycocorax pyrrhopterus,HLlycPyrObi2,GCA_014706295.1,7380351,74168823,chicken
Machaerirhynchus nigripectus,-,1160894,Aves; Neognathae; Passeriformes; Corvoidea; Dicruridae; Machaerirhynchus,HLmacNig1,GCA_013397975.1,76530,998129,chicken
Manacus vitellinus,golden-collared manakin,328815,Aves; Neognathae; Passeriformes; Pipridae; Manacus,HLmanVit1,GCF_001715985.3,290580,17883582,chicken
Megadyptes antipodes antipodes,Yellow-eyed penguin,2517240,Aves; Neognathae; Sphenisciformes; Spheniscidae; Megadyptes; Megadyptes antipodes,HLmegAnt1,GCA_010078485.1,89505,23315117,chicken
Melanerpes aurifrons,Golden-fronted woodpecker,371916,Aves; Neognathae; Piciformes; Picidae; Melanerpes,HLmelAur1,GCA_011125475.1,16045987,16045987,chicken
Melanocharis versteri,Fan-tailed berrypecker,254552,Aves; Neognathae; Passeriformes; Passeroidea; Melanocharitidae; Melanocharis,HLmelVer1,GCA_013397845.1,103752,854663,chicken
Meleagris gallopavo,turkey,9103,Aves; Neognathae; Galloanserae; Galliformes; Phasianidae; Meleagridinae; Meleagris,HLmelGal6,GCA_905368555.1,26554504,70339173,chicken
Meleagris gallopavo,turkey,9103,Aves; Neognathae; Galloanserae; Galliformes; Phasianidae; Meleagridinae; Meleagris,melGal5,GCF_000146605.2,26671,3801642,chicken
Melopsittacus undulatus,budgerigar,13146,Aves; Neognathae; Psittaciformes; Psittaculidae; Melopsittacus,HLmelUnd2,GCF_012275295.1,16636420,104092594,chicken
Merops nubicus,carmine bee-eater,57421,Aves; Neognathae; Coraciiformes; Meropidae; Merops,HLmerNub1,GCA_009819595.1,12372304,49132790,chicken
Mesembrinibis cayennensis,-,1118748,Aves; Neognathae; Pelecaniformes; Threskiornithidae; Mesembrinibis,HLmesCay1,GCA_013399675.1,85098,482795,chicken
Mesitornis unicolor,brown roatelo,54374,Aves; Neognathae; Gruiformes; Mesitornithidae; Mesitornis,mesUni1,GCF_000695765.1,22740,47102,chicken
Mionectes macconnelli,McConnell's flycatcher,254557,Aves; Neognathae; Passeriformes; Tyrannidae; Mionectes,HLmioMac1,GCA_013397495.1,72805,1646422,chicken
Mixornis gularis,Striped tit-babbler,1948886,Aves; Neognathae; Passeriformes; Sylvioidea; Timaliidae; Mixornis,HLmixGul1,GCA_003546035.1,71550,2810030,chicken
Mohoua ochrocephala,-,874463,Aves; Neognathae; Passeriformes; Meliphagoidea; Acanthizidae; Mohoua,HLmohOch1,GCA_013398855.1,54215,206785,chicken
Molothrus ater,-,84834,Aves; Neognathae; Passeriformes; Passeroidea; Icteridae; Molothrus,HLmolAte1,GCF_012460135.1,13273966,52124711,chicken
Montifringilla adamsi,black-winged snowfinch,356906,Aves; Neognathae; Passeriformes; Passeroidea; Passeridae; Montifringilla,HLmonAda1,GCA_017590115.1,466425,10057884,chicken
Motacilla alba,white wagtail,45807,Aves; Neognathae; Passeriformes; Passeroidea; Motacillidae; Motacilla,HLmotAlb1,GCA_013397355.1,87013,683060,chicken
Motacilla alba alba,white wagtail,1094192,Aves; Neognathae; Passeriformes; Passeroidea; Motacillidae; Motacilla; Motacilla alba,HLmotAlbAlb2,GCF_015832195.1,8515530,72386170,chicken
Motacilla tschutschensis,eastern yellow wagtail,662061,Aves; Neognathae; Passeriformes; Passeroidea; Motacillidae; Motacilla,HLmotTsc1,GCA_018904545.1,98155,5483466,chicken
Myiagra hebetior,-,381031,Aves; Neognathae; Passeriformes; Corvoidea; Monarchidae; Myiagra,HLmyiHeb1,GCA_013397015.1,66181,831089,chicken
Myiopsitta monachus,monk parakeet,176066,Aves; Neognathae; Psittaciformes; Psittacidae; Myiopsitta,HLmyiMon1,GCA_013036005.1,69906,12825613,chicken
Myiopsitta monachus,monk parakeet,176066,Aves; Neognathae; Psittaciformes; Psittacidae; Myiopsitta,HLmyiMon2,GCA_017639245.1,22647286,75716676,chicken
Nannopterum auritus,double-crested cormorant,56069,Aves; Neognathae; Pelecaniformes; Phalacrocoracidae; Nannopterum,HLnanAur1,GCA_002173455.1,97559,1990987,chicken
Nannopterum harrisi,Galapagos flightless cormorant,473964,Aves; Neognathae; Pelecaniformes; Phalacrocoracidae; Nannopterum,HLnanHar1,GCA_002173475.1,100243,4648443,chicken
Neopelma chrysocephalum,saffron-crested tyrant-manakin,114329,Aves; Neognathae; Passeriformes; Pipridae; Neopelma,HLneoChr1,GCF_003984885.1,237029,10517223,chicken
Neopipo cinnamomea,-,456388,Aves; Neognathae; Passeriformes; Tyrannidae; Neopipo,HLneoCin1,GCA_013397415.1,43146,485965,chicken
Nesospiza acunhae,-,381881,Aves; Neognathae; Passeriformes; Thraupidae; Nesospiza,HLnesAcu1,GCA_013398715.1,38571,1027905,chicken
Nestor notabilis,Kea,176057,Aves; Neognathae; Psittaciformes; Psittacidae; Nestor,HLnesNot1,GCF_000696875.1,26546,61475,chicken
Nettapus auritus,-,658922,Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Anatidae incertae sedis; Nettapus,HLnetAur1,GCA_011076525.1,105147,26011715,chicken
Nicator chloris,-,237433,Aves; Neognathae; Passeriformes; Sylvioidea; Pycnonotidae; Nicator,HLnicChl1,GCA_013400495.1,56498,99492,chicken
Nipponia nippon,crested ibis,128390,Aves; Neognathae; Pelecaniformes; Threskiornithidae; Nipponia,nipNip1,GCF_000708225.1,29116,5211696,chicken
Nisaetus nipalensis,mountain hawk-eagle,214438,Aves; Neognathae; Accipitriformes; Accipitridae; Accipitrinae; Nisaetus,HLnisNip1,GCA_012487455.1,56477,116003,chicken
Nothocercus julius,-,2585813,Aves; Palaeognathae; Tinamiformes; Tinamidae; Nothocercus,HLnotJul1,GCA_013398735.1,37646,4059565,chicken
Nothocercus nigrocapillus,-,1977171,Aves; Palaeognathae; Tinamiformes; Tinamidae; Nothocercus,HLnotNig1,GCA_013398345.1,31010,2648942,chicken
Nothoprocta ornata,-,83376,Aves; Palaeognathae; Tinamiformes; Tinamidae; Nothoprocta,HLnotOrn1,GCA_013398335.1,47308,3788443,chicken
Nothoprocta pentlandii,-,2585814,Aves; Palaeognathae; Tinamiformes; Tinamidae; Nothoprocta,HLnotPen1,GCA_013398315.1,45203,1104275,chicken
Nothoprocta perdicaria,-,30464,Aves; Palaeognathae; Tinamiformes; Tinamidae; Nothoprocta,HLnotPer1,GCF_003342845.1,95599,3369196,chicken
Notiomystis cincta,-,366454,Aves; Neognathae; Passeriformes; Notiomystidae; Notiomystis,HLnotCin1,GCA_013398075.1,50117,154199,chicken
Numida meleagris,helmeted guineafowl,8996,Aves; Neognathae; Galloanserae; Galliformes; Numididae; Numida,HLnumMel2,GCA_014595935.1,14170429,98083000,chicken
Nyctibius bracteatus,Rufous potoo,48426,Aves; Neognathae; Caprimulgimorphae; Caprimulgiformes; Nyctibiidae; Nyctibius,HLnycBra1,GCA_013396595.1,33238,380686,chicken
Nyctibius grandis,-,48427,Aves; Neognathae; Caprimulgimorphae; Caprimulgiformes; Nyctibiidae; Nyctibius,HLnycGra1,GCA_013368605.1,23231768,92359233,chicken
Nycticryphes semicollaris,-,227226,Aves; Neognathae; Charadriiformes; Rostratulidae; Nycticryphes,HLnycSem1,GCA_013400055.1,74117,702727,chicken
Nyctiprogne leucopyga,-,382315,Aves; Neognathae; Caprimulgimorphae; Caprimulgiformes; Caprimulgidae; Chordeilinae; Nyctiprogne,HLnycLeu1,GCA_013399395.1,28894,190423,chicken
Oceanites oceanicus,Wilson's storm-petrel,79653,Aves; Neognathae; Procellariiformes; Hydrobatidae; Oceanites,HLoceOce1,GCA_013396615.1,28090,406319,chicken
Odontophorus gujanensis,marbled wood quail,886794,Aves; Neognathae; Galloanserae; Galliformes; Odontophoridae; Odontophorus,HLodoGuj1,GCA_013399175.1,74578,343789,chicken
Oenanthe oenanthe,Northern wheatear,279966,Aves; Neognathae; Passeriformes; Muscicapidae; Oenanthe,HLoenOen1,GCA_013399995.1,44998,507914,chicken
Onychorhynchus coronatus,-,360224,Aves; Neognathae; Passeriformes; Tyrannidae; Onychorhynchus,HLonyCor1,GCA_013397825.1,96253,2999088,chicken
Onychostruthus taczanowskii,white-rumped snowfinch,356909,Aves; Neognathae; Passeriformes; Passeroidea; Passeridae; Onychostruthus,HLonyTac1,GCF_017590055.1,867338,9074114,chicken
Opisthocomus hoazin,hoatzin,30419,Aves; Neognathae; Opisthocomiformes; Opisthocomidae; Opisthocomus,opiHoa1,GCF_000692075.1,28179,2937227,chicken
Oreocharis arfaki,tit berrypecker,979223,Aves; Neognathae; Passeriformes; Passeroidea; Paramythiidae; Oreocharis,HLoreArf1,GCA_013398015.1,109596,636482,chicken
Origma solitaria,-,720586,Aves; Neognathae; Passeriformes; Meliphagoidea; Acanthizidae; Origma,HLoriSol1,GCA_013397895.1,99117,1255867,chicken
Oriolus oriolus,Eurasian golden-oriole,181099,Aves; Neognathae; Passeriformes; Corvoidea; Corvidae; Oriolus,HLoriOri1,GCA_013400235.1,97892,716337,chicken
Orthonyx spaldingii,northern chowchilla,38397,Aves; Neognathae; Passeriformes; Corvoidea; Orthonychidae; Orthonyx,HLortSpa1,GCA_013397795.1,81405,1302835,chicken
Otus sunia,Oriental scops-owl,257818,Aves; Neognathae; Strigiformes; Strigidae; Otus,HLotuSun1,GCA_010365825.1,52366,18540887,chicken
Oxyruncus cristatus,sharpbill,114331,Aves; Neognathae; Passeriformes; Cotingidae; Oxyruncus,HLoxyCri1,GCA_013399855.1,75750,1139285,chicken
Oxyura jamaicensis,ruddy duck,8884,Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Anatinae; Oxyura,HLoxyJam1,GCF_011077185.1,128592,36145614,chicken
Pachycephala philippinensis,yellow-belllied whistler,449367,Aves; Neognathae; Passeriformes; Corvoidea; Pachycephalidae; Pachycephala,HLpacPhi1,GCA_013397055.1,60658,492780,chicken
Pachyramphus minor,-,369605,Aves; Neognathae; Passeriformes; Tyrannidae; Pachyramphus,HLpacMin1,GCA_013397135.1,89585,564837,chicken
Paradisaea raggiana,Raggiana bird of paradise,36268,Aves; Neognathae; Passeriformes; Corvoidea; Paradisaeidae; Paradisaea,HLparRag1,GCA_003713265.1,96622,882045,chicken
Paradisaea rubra,red bird of paradise,39963,Aves; Neognathae; Passeriformes; Corvoidea; Paradisaeidae; Paradisaea,HLparRub1,GCA_003713215.1,415330,3264865,chicken
Paradoxornis webbianus,crow tit,337173,Aves; Neognathae; Passeriformes; Muscicapidae; Paradoxornis,HLparWeb1,GCA_013397395.1,78603,970774,chicken
